,FLT,FLT_next,REG,ITY,NAT,PAX,DES,ORG,start_time,end_time,arrival,towing,departure,stand,f,start,end,CGMS,prev,next,UID,disrupted,prev_stand,prev_start,prev_end
374,SQ208,SQ422,9VSMH,A359,PAX,0.0,BOM,MEL,2019-05-12 23:57:00,2019-05-13 05:40:00,1.0,0.0,0.0,E28,1.0,31.0,374.0,E12,arr,tow,374,0,E28,31.0,374.0
375,SQ208,SQ422,9VSMH,A359,PAX,0.0,BOM,MEL,2019-05-13 05:40:00,2019-05-13 07:40:00,0.0,0.0,1.0,A17,1.0,374.0,494.0,E12,tow,dpt,375,0,A17,374.0,494.0
376,SQ421,SQ421,9VSMH,A359,PAX,0.0,,BOM,2019-05-13 19:50:00,2019-05-13 23:59:00,1.0,0.0,0.0,B3,1.0,1224.0,1473.0,F54,arr,tow,376,0,B3,1224.0,1473.0
377,SQ351,SQ211,9VSWT,B77W,PAX,0.0,SYD,CPH,2019-05-13 06:20:00,2019-05-13 09:35:00,1.0,0.0,1.0,B6,1.0,414.0,609.0,B5,arr,dpt,377,0,B6,414.0,609.0
378,SQ212,SQ212,9VSWP,B77W,PAX,0.0,,SYD,2019-05-13 14:15:00,2019-05-13 23:59:00,1.0,1.0,0.0,461,1.0,889.0,1473.0,A14,arr,tow,378,0,461,889.0,1473.0
379,SQ213,SQ213,9VSVN,B772,PAX,0.0,PER,,2019-05-13 00:00:00,2019-05-13 07:40:00,1.0,0.0,1.0,A21,1.0,34.0,494.0,B10,arr,dpt,379,0,A21,34.0,494.0
380,SQ226,SQ226,9VSVN,B772,PAX,0.0,,PER,2019-05-13 19:35:00,2019-05-13 23:59:00,1.0,0.0,0.0,A20,1.0,1209.0,1473.0,F33,arr,tow,380,0,A20,1209.0,1473.0
381,SQ223,SQ223,9VSTQ,A333,PAX,0.0,PER,,2019-05-13 00:00:00,2019-05-13 09:30:00,1.0,0.0,1.0,A18,1.0,34.0,604.0,A11,arr,dpt,381,0,A18,34.0,604.0
382,SQ214,SQ214,9VSTQ,A333,PAX,0.0,,PER,2019-05-13 22:35:00,2019-05-13 23:59:00,1.0,0.0,0.0,A21,1.0,1389.0,1473.0,A20,arr,tow,382,0,A21,1389.0,1473.0
383,SQ672,SQ672,9VSCK,B78X,PAX,0.0,NGO,,2019-05-13 00:00:00,2019-05-13 01:15:00,1.0,0.0,1.0,A11,1.0,34.0,109.0,B4,arr,dpt,383,0,A11,34.0,109.0
384,SQ671,SQ215,9VSCK,B78X,PAX,0.0,PER,NGO,2019-05-13 16:20:00,2019-05-13 18:45:00,1.0,0.0,1.0,B7,1.0,1014.0,1159.0,A17,arr,dpt,384,0,B7,1014.0,1159.0
385,SQ216,SQ942,9VSCE,B78X,PAX,0.0,DPS,PER,2019-05-13 06:35:00,2019-05-13 09:15:00,1.0,0.0,1.0,F40,1.0,429.0,589.0,E11,arr,dpt,385,0,F40,429.0,589.0
386,SQ943,SQ982,9VSCE,B78X,PAX,0.0,BKK,DPS,2019-05-13 15:50:00,2019-05-13 17:30:00,1.0,0.0,1.0,F40,1.0,984.0,1084.0,E11,arr,dpt,386,0,F40,984.0,1084.0
387,SQ983,SQ983,9VSCE,B78X,PAX,0.0,,BKK,2019-05-13 23:30:00,2019-05-13 23:59:00,1.0,0.0,0.0,B8,1.0,1444.0,1473.0,B10,arr,tow,387,0,B8,1444.0,1473.0
388,SQ639,SQ217,9VSWO,B77W,PAX,0.0,MEL,HND,2019-05-13 08:25:00,2019-05-13 11:00:00,1.0,0.0,1.0,B8,1.0,539.0,694.0,A14,arr,dpt,388,0,B8,539.0,694.0
389,SQ218,SQ218,9VSWS,B77W,PAX,0.0,,MEL,2019-05-13 06:00:00,2019-05-13 23:59:00,1.0,1.0,0.0,468,1.0,394.0,1473.0,B4,arr,tow,389,0,468,394.0,1473.0
390,SQ345,SQ221,9VSKY,A388,PAX,0.0,SYD,ZRH,2019-05-13 05:55:00,2019-05-13 20:20:00,1.0,0.0,1.0,A2,1.0,389.0,1254.0,B7,arr,dpt,390,0,A2,389.0,1254.0
391,SQ231,SQ231,9VSKI,A388,PAX,0.0,SYD,,2019-05-13 00:00:00,2019-05-13 00:46:00,1.0,0.0,1.0,A2,1.0,34.0,80.0,B5,arr,dpt,391,0,A2,34.0,80.0
392,SQ222,SQ638,9VSKI,A388,PAX,0.0,NRT,SYD,2019-05-13 21:20:00,2019-05-13 23:55:00,1.0,0.0,1.0,B7,1.0,1314.0,1469.0,A4,arr,dpt,392,0,B7,1314.0,1469.0
393,SQ225,SQ225,9VSQN,B772,PAX,0.0,PER,,2019-05-13 00:00:00,2019-05-13 00:15:00,1.0,0.0,1.0,A9,1.0,34.0,49.0,A9,arr,dpt,393,0,A9,34.0,49.0
394,SQ224,SQ502,9VSQN,B772,PAX,0.0,BLR,PER,2019-05-13 11:45:00,2019-05-13 20:05:00,1.0,0.0,1.0,A5,1.0,739.0,1239.0,A20,arr,dpt,394,0,A5,739.0,1239.0
395,SQ631,SQ227,9VSWR,B77W,PAX,0.0,MEL,HND,2019-05-13 15:15:00,2019-05-13 22:00:00,1.0,0.0,1.0,A11,1.0,949.0,1354.0,B4,arr,dpt,395,0,A11,949.0,1354.0
396,SQ237,SQ237,9VSWK,B77W,PAX,0.0,MEL,,2019-05-13 00:00:00,2019-05-13 00:27:00,1.0,0.0,1.0,B7,1.0,34.0,61.0,A14,arr,dpt,396,0,B7,34.0,61.0
397,SQ228,SQ228,9VSWK,B77W,PAX,0.0,,MEL,2019-05-13 21:30:00,2019-05-13 23:59:00,1.0,0.0,0.0,A5,1.0,1324.0,1473.0,F41,arr,tow,397,0,A5,1324.0,1473.0
398,SQ255,SQ255,9VSHA,A359,PAX,0.0,BNE,,2019-05-13 00:00:00,2019-05-13 00:48:00,1.0,0.0,1.0,A10,1.0,34.0,82.0,B3,arr,dpt,398,0,A10,34.0,82.0
399,SQ236,SQ279,9VSHA,A359,PAX,0.0,ADL,BNE,2019-05-13 20:45:00,2019-05-13 23:10:00,1.0,0.0,1.0,A14,1.0,1279.0,1424.0,A3,arr,dpt,399,0,A14,1279.0,1424.0
400,SQ238,SQ806,9VSWI,B77W,PAX,0.0,PEK,MEL,2019-05-13 15:25:00,2019-05-13 16:50:00,1.0,0.0,1.0,B10,1.0,959.0,1044.0,A4,arr,dpt,400,0,B10,959.0,1044.0
401,SQ242,SQ612,9VSNA,B77W,PAX,0.0,ICN,SYD,2019-05-13 00:23:00,2019-05-13 02:25:00,1.0,0.0,1.0,A12,1.0,57.0,179.0,B6,arr,dpt,401,0,A12,57.0,179.0
402,SQ611,SQ611,9VSNA,B77W,PAX,0.0,,ICN,2019-05-13 16:55:00,2019-05-13 23:59:00,1.0,1.0,0.0,203,1.0,1049.0,1473.0,A2,arr,tow,402,0,203,1049.0,1473.0
403,SQ323,SQ245,9VSMT,A359,PAX,0.0,BNE,AMS,2019-05-13 05:55:00,2019-05-13 09:40:00,1.0,0.0,1.0,A15,1.0,389.0,614.0,A1,arr,dpt,403,0,A15,389.0,614.0
404,SQ503,SQ890,9VSQM,B772,PAX,0.0,HKG,BLR,2019-05-13 06:10:00,2019-05-13 07:30:00,1.0,0.0,1.0,A13,1.0,404.0,484.0,A15,arr,dpt,404,0,A13,404.0,484.0
405,SQ891,SQ247,9VSQM,B772,PAX,0.0,WLG,HKG,2019-05-13 16:20:00,2019-05-13 19:45:00,1.0,0.0,1.0,A16,1.0,1014.0,1219.0,A9,arr,dpt,405,0,A16,1014.0,1219.0
406,SQ265,SQ265,9VSHD,A359,PAX,0.0,BNE,,2019-05-13 00:00:00,2019-05-13 05:20:00,1.0,0.0,0.0,C20,1.0,34.0,354.0,A11,arr,tow,406,0,C20,34.0,354.0
407,SQ265,SQ265,9VSHD,A359,PAX,0.0,BNE,,2019-05-13 05:20:00,2019-05-13 07:20:00,0.0,0.0,1.0,B4,1.0,354.0,474.0,A11,tow,dpt,407,0,B4,354.0,474.0
408,SQ266,SQ600,9VSHE,A359,PAX,0.0,ICN,BNE,2019-05-13 00:03:00,2019-05-13 06:00:00,1.0,0.0,0.0,F42,1.0,37.0,394.0,A15,arr,tow,408,0,F42,37.0,394.0
409,SQ266,SQ600,9VSHE,A359,PAX,0.0,ICN,BNE,2019-05-13 06:00:00,2019-05-13 08:00:00,0.0,0.0,1.0,A12,1.0,394.0,514.0,A15,tow,dpt,409,0,A12,394.0,514.0
410,SQ609,SQ609,9VSHE,A359,PAX,0.0,,ICN,2019-05-13 22:05:00,2019-05-13 23:59:00,1.0,0.0,0.0,A3,1.0,1359.0,1473.0,B3,arr,tow,410,0,A3,1359.0,1473.0
411,SQ278,SQ964,9VSHB,A359,PAX,0.0,CGK,ADL,2019-05-13 15:10:00,2019-05-13 17:20:00,1.0,0.0,1.0,F59,1.0,944.0,1074.0,E3,arr,dpt,411,0,F59,944.0,1074.0
412,SQ965,SQ965,9VSHB,A359,PAX,0.0,,CGK,2019-05-13 21:50:00,2019-05-13 23:59:00,1.0,0.0,0.0,A2,1.0,1344.0,1473.0,F50,arr,tow,412,0,A2,1344.0,1473.0
413,SQ325,SQ285,9VSWD,B77W,PAX,0.0,AKL,FRA,2019-05-13 16:25:00,2019-05-13 22:45:00,1.0,0.0,1.0,B2,1.0,1019.0,1399.0,B10,arr,dpt,413,0,B2,1019.0,1399.0
414,SQ286,SQ352,9VSWF,B77W,PAX,0.0,CPH,AKL,2019-05-13 21:00:00,2019-05-13 23:50:00,1.0,0.0,1.0,A13,1.0,1294.0,1464.0,C1,arr,dpt,414,0,A13,1294.0,1464.0
415,SQ825,SQ288,9VSWQ,B77W,PAX,0.0,CBR,PVG,2019-05-13 05:55:00,2019-05-13 08:30:00,1.0,0.0,0.0,C20,1.0,389.0,544.0,A12,arr,tow,415,0,C20,389.0,544.0
416,SQ825,SQ288,9VSWQ,B77W,PAX,0.0,CBR,PVG,2019-05-13 08:30:00,2019-05-13 10:30:00,0.0,0.0,1.0,A13,1.0,544.0,664.0,A12,tow,dpt,416,0,A13,544.0,664.0
417,SQ288,SQ952,9VSWH,B77W,PAX,0.0,CGK,SYD,2019-05-13 05:15:00,2019-05-13 07:40:00,1.0,0.0,1.0,E26,1.0,349.0,494.0,F58,arr,dpt,417,0,E26,349.0,494.0
418,SQ955,SQ634,9VSWH,B77W,PAX,0.0,HND,CGK,2019-05-13 12:15:00,2019-05-13 13:55:00,1.0,0.0,1.0,A14,1.0,769.0,869.0,A14,arr,dpt,418,0,A14,769.0,869.0
419,SQ337,SQ860,9VSME,A359,PAX,0.0,HKG,DUS,2019-05-13 06:20:00,2019-05-13 08:40:00,1.0,0.0,1.0,B7,1.0,414.0,554.0,A3,arr,dpt,419,0,B7,414.0,554.0
